#Date;Value 18:50 MSK
2019-02-12;65.6578
2019-02-11;65.8249
2019-02-08;65.7226
2019-02-07;65.8815
2019-02-06;65.8043
2019-02-05;65.5873
2019-02-04;65.6372
2019-02-01;65.5856
2019-01-31;65.3962
2019-01-30;65.9968
2019-01-29;66.061
2019-01-28;66.1838
2019-01-25;66.0223
2019-01-24;65.8256
2019-01-23;66.1495
2019-01-22;66.4824
2019-01-21;66.3953
2019-01-18;66.2386
2019-01-17;66.6395
2019-01-16;66.5183
2019-01-15;66.9418
2019-01-14;67.009
2019-01-11;67.0339
2019-01-10;67.1275
2019-01-09;66.9748
2019-01-08;67.0412
2019-01-04;67.8064
2019-01-03;68.8594
2018-12-29;69.8395
2018-12-28;69.6895
2018-12-27;69.402
2018-12-26;69.062
2018-12-25;68.8148
2018-12-24;68.3649
2018-12-21;68.6436
2018-12-20;68.4105
2018-12-19;67.5685
2018-12-18;66.9401
2018-12-17;66.7463
2018-12-14;66.7484
2018-12-13;66.3461
2018-12-12;66.3282
2018-12-11;66.4701
2018-12-10;66.4371
2018-12-07;66.144
2018-12-06;67.0093
2018-12-05;66.8169
2018-12-04;66.5917
2018-12-03;66.6295
2018-11-30;66.9269
2018-11-29;66.2049
2018-11-28;67.367
2018-11-27;67.0631
2018-11-26;67.077
2018-11-23;66.2845
2018-11-22;65.5713
2018-11-21;65.886
2018-11-20;66.0478
2018-11-19;65.8437
2018-11-16;65.8579
2018-11-15;66.3238
2018-11-14;67.0663
2018-11-13;68.0113
2018-11-12;67.6478
2018-11-09;67.5194
2018-11-08;66.4965
2018-11-07;66.1649
2018-11-06;66.0158
2018-11-02;66.0121
2018-11-01;65.6933
2018-10-31;65.8098
2018-10-30;65.55
2018-10-29;65.6049
2018-10-26;65.7752
2018-10-25;65.5403
2018-10-24;65.4214
2018-10-23;65.6213
2018-10-22;65.1325
2018-10-19;65.544
2018-10-18;65.7197
2018-10-17;65.33
2018-10-16;65.315
2018-10-15;65.6308
2018-10-12;66.3249
2018-10-11;66.3198
2018-10-10;66.6135
2018-10-09;66.3979
2018-10-08;66.7515
2018-10-05;66.5975
2018-10-04;66.8994
2018-10-03;65.6871
2018-10-02;65.3098
2018-10-01;65.3756
2018-09-28;65.4168
2018-09-27;65.6247
2018-09-26;65.8736
2018-09-25;65.8646
2018-09-24;65.8229
2018-09-21;66.5051
2018-09-20;66.3074
2018-09-19;66.7882
2018-09-18;67.395
2018-09-17;68.011
2018-09-14;67.9192
2018-09-13;68.4718
2018-09-12;68.8261
2018-09-11;69.6693
2018-09-10;70.5195
2018-09-07;69.6254
2018-09-06;69.3362
2018-09-05;68.4145
2018-09-04;68.0098
2018-09-03;68.1048
2018-08-31;67.6556
2018-08-30;68.2713
2018-08-29;68.185
2018-08-28;67.6703
2018-08-27;67.2079
2018-08-24;67.4683
2018-08-23;68.1963
2018-08-22;67.9243
2018-08-21;67.3391
2018-08-20;67.1979
2018-08-17;67.4823
2018-08-16;66.7876
2018-08-15;67.681
2018-08-14;66.4964
2018-08-13;67.9418
2018-08-10;67.8088
2018-08-09;66.3037
2018-08-08;64.8555
2018-08-07;63.4951
2018-08-06;63.6337
2018-08-03;63.2197
2018-08-02;63.3698
2018-08-01;62.8684
2018-07-31;62.3324
2018-07-30;62.2149
